tool	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 	PP-FOND 
run set	prp	prp	prp	prp	prp	prp	prp	prp_inv0	prp_inv0	prp_inv0	prp_inv0	prp_inv0	prp_inv0	prp_inv0
/home/nitin/app/experiments/benchexe/tasks/	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time
AIJ_Barman_RND50_20.yml	true	40.542572	40.56701057000464	125.009920	1934	40.09996615500131	0.28933711999707157	true	326.602511	326.65961802200763	284.909568	4686	326.1938284439966	0.2897686359938234
AIJ_Barman_RND50_3.yml	true	10.127063	10.149558539000282	43.540480	1344	9.676520758999686	0.29227923000144074	true	15.454106	15.47687413400854	53.420032	1524	15.015150364983128	0.2880308390012942
AIJ_Barman_RND50_4.yml	true	9.798884	9.819737553996674	43.974656	1401	9.345458083000267	0.2942547030033893	true	15.37982	15.401606002007611	52.731904	1514	14.941656262002653	0.28578440999262966
AIJ_Barman_RND50_5.yml	true	12.015358	12.037524740997469	44.515328	1399	11.570338466000976	0.28975161699781893	true	15.6824	15.703921270993305	53.792768	1543	15.242805651010713	0.28823453100631014
AIJ_Barman_RND50_6.yml	true	664.871733	664.9316378229996	174.141440	4694	664.4407626890024	0.30639587699988624	false	1799.388304	1799.4789006790088	248.446976	-1	1799.0027124079934	0.28138971698354
AIJ_Barman_RND50_7.yml	true	844.351198	844.4184981019935	192.487424	4814	843.9528910369991	0.28844726600073045	true	375.951686	376.01500053098425	83.996672	6485	375.55371331301285	0.2880692569888197
AIJ_Barman_RND50_8.yml	true	816.364892	816.4311539779956	210.128896	5563	815.969644372999	0.2893169569942984	false	1799.246456	1799.4751723039954	122.335232	-1	1799.0074456779985	0.28088179702172056
AIJ_Barman_RND50_9.yml	true	1451.104559	1451.2105798620032	235.433984	6542	1450.7545413760017	0.2824426239967579	false	1799.389895	1799.51703101999	118.214656	-1	1799.010380549007	0.3041157569969073
AIJ_Barman_SCC56_1.yml	true	32.44194	32.4662085279997	39.350272	2289	32.006642940003076	0.2887404540015268	true	39.556944	39.57920181698864	42.954752	2000	39.11021138000069	0.2916489680064842
AIJ_Barman_SCC56_10.yml	true	1767.102913	1767.2652815690017	166.539264	8427	1766.8008940280051	0.2912887090060394	false	1799.393255	1799.4934827429825	114.335744	-1	1799.0032390280103	0.2930543289985508
AIJ_Barman_SCC56_11.yml	false	1799.363581	1799.4839916460041	183.492608	-1	1799.0029851559957	0.29286899799626553	false	1799.385648	1799.4880165860232	157.470720	-1	1799.0057025749993	0.29062757099745795
AIJ_Barman_SCC56_12.yml	false	1799.364635	1799.4834901970025	180.740096	-1	1799.0040680720049	0.2912158239996643	false	1799.387158	1799.4876055610075	162.766848	-1	1799.0075702669856	0.2879939940175973
AIJ_Barman_SCC56_13.yml	false	1799.269137	1799.478267088998	171.638784	-1	1799.001964089999	0.2914889289968414	false	1799.387659	1799.4926496919943	155.779072	-1	1799.0053843809874	0.29272724100155756
AIJ_Barman_SCC56_14.yml	false	1799.329313	1799.4787485139968	176.152576	-1	1799.0028946300008	0.288247340999078	false	1799.382884	1799.4850549789844	150.982656	-1	1799.004891078017	0.2889722630206961
AIJ_Barman_SCC56_15.yml	false	1799.351943	1799.499689930999	187.785216	-1	1799.0029197610056	0.30314730900136055	false	1799.379486	1799.4882258519938	158.732288	-1	1799.004461174016	0.29253984801471233
AIJ_Barman_SCC56_16.yml	true	126.049925	126.07895527000073	124.428288	2860	125.57850394399429	0.3126461889987695	false	1799.263032	1799.4860126560088	291.221504	-1	1799.005331599008	0.2884482539957389
AIJ_Barman_SCC56_17.yml	true	284.425601	284.4630328679996	153.075712	3224	283.99436867199984	0.29595023400179343	false	1799.380903	1799.4903617470118	240.709632	-1	1799.005671529012	0.2914709100150503
