tool	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 	PP-LPG 
run set	lpg	lpg	lpg	lpg	lpg	lpg	lpg	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small	lpg_small
/home/nitin/app/benchmarks/benchexe/tasks/	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time	status	cputime (s)	walltime (s)	memory (MB)	policy_size	solve_time	translation_time
AIJ_Barman_RING50_18.yml	true	6.641798	6.650077755562961	284.491776	342	6.213893346488476	0.2680388707667589	true	6.806682	6.814441098831594	280.043520	314	6.364763770252466	0.2735033258795738
AIJ_Barman_RING50_19.yml	true	544.562497	544.6041597183794	458.440704	546	544.1665369290859	0.268197039142251	true	5.07511	5.083089930005372	281.067520	437	4.629672396928072	0.2731372397392988
AIJ_Barman_RING50_2.yml	false	1.980354	1.9880707217380404	280.657920		-1	0.2622486297041178	true	10.10569	10.113441839814186	275.685376	2184	9.671064591035247	0.2643081471323967
AIJ_Barman_RING50_20.yml	true	1202.431667	1202.5341173140332	534.183936	1675	1202.0967082930729	0.26736374106258154	true	10.949924	10.958043288439512	282.120192	895	10.506378997117281	0.27717550843954086
AIJ_Barman_RING50_3.yml	true	57.045169	57.05740161985159	296.480768	1971	56.63227703049779	0.2616839138790965	true	9.967835	9.976414878852665	274.616320	2316	9.527662940323353	0.2749698106199503
AIJ_Barman_RING50_4.yml	true	50.507851	50.52119449339807	295.620608	1732	50.071269798092544	0.27177360374480486	true	8.355168	8.365151591598988	274.710528	2066	7.899970386177301	0.2816218566149473
AIJ_Barman_RING50_5.yml	true	51.540789	51.55272975936532	291.762176	2519	51.0968674980104	0.27689808886498213	true	10.056508	10.066562227904797	274.767872	2366	9.549315453507006	0.3295188331976533
AIJ_Barman_RING50_6.yml	true	24.379646	24.47274191584438	289.263616	2153	24.03341226093471	0.26995205599814653	true	17.015586	17.02766923699528	276.955136	3471	16.580961593426764	0.27016858477145433
AIJ_Barman_RING50_7.yml	true	15.134584	15.231055245734751	289.435648	1617	14.803526381962001	0.26062779314816	true	24.831851	24.843603041023016	280.322048	6261	24.38137192185968	0.2731525460258126
AIJ_Barman_RING50_8.yml	true	13.978874	13.986580598168075	283.320320	1785	13.551133648492396	0.2664696555584669	true	7.00316	7.0125550124794245	276.598784	1462	6.545325375162065	0.27710472233593464
AIJ_Barman_RING50_9.yml	true	11.554527	11.647200774401426	284.614656	2469	11.221212467178702	0.26007640175521374	true	9.872339	9.895372949540615	276.504576	1866	9.43551433365792	0.2742323763668537
AIJ_Barman_RND50_1.yml	true	156.806639	156.82968549616635	289.927168	11364	156.39356554858387	0.2675795154646039	true	24.184388	24.199957452714443	271.589376	6729	23.741331399418414	0.2710851551964879
AIJ_Barman_RND50_10.yml	true	270.970615	271.0085138613358	290.414592	17530	270.5412314468995	0.27696307096630335	true	50.849929	50.868986090645194	275.439616	7733	50.40591006167233	0.27481861878186464
AIJ_Barman_RND50_11.yml	false	1799.206047	1799.4793285420164	378.900480		-1	0.26918607112020254	false	890.669385	891.0964126670733	470.786048		-1	0.2758273184299469
AIJ_Barman_RND50_12.yml	false	1799.095326	1799.4631927516311	372.338688		-1	0.26466958317905664	false	922.968015	923.1992806792259	464.629760		-1	0.2752520265057683
AIJ_Barman_RND50_13.yml	false	1799.27031	1799.4759211372584	390.057984		-1	0.2687313733622432	false	880.462748	880.6860815547407	432.246784		-1	0.2855542516335845
