task,run,status,solved,cputime,walltime,memory_mb,policy_size,solve_time,translation_time,benchmark,set,domain,sub_domain,full_domain,instance
AIJ_Barman_SCC56_1.yml,pr2,true,True,2.886033,2.8936630939133465,43.593728,2247.0,2.342780491802841,0.3335995506495237,"('AIJ', 'Barman', 'SCC56', '1')",AIJ,Barman,SCC56,Barman-SCC56,1
AIJ_Barman_SCC56_10.yml,pr2,true,True,268.14053,268.177029568702,122.216448,24995.0,267.6304336739704,0.3292594067752361,"('AIJ', 'Barman', 'SCC56', '10')",AIJ,Barman,SCC56,Barman-SCC56,10
AIJ_Barman_SCC56_11.yml,pr2,false,False,1799.449125,1799.6026209210977,351.244288,-1.0,1799.012138118036,0.3005417329259217,"('AIJ', 'Barman', 'SCC56', '11')",AIJ,Barman,SCC56,Barman-SCC56,11
AIJ_Barman_SCC56_12.yml,pr2,false,False,1799.444579,1799.5911895930767,357.093376,-1.0,1799.0114689487964,0.2991130258888006,"('AIJ', 'Barman', 'SCC56', '12')",AIJ,Barman,SCC56,Barman-SCC56,12
AIJ_Barman_SCC56_13.yml,pr2,false,False,1799.400195,1799.5914158136584,342.933504,-1.0,1799.0143652423285,0.2999470317736268,"('AIJ', 'Barman', 'SCC56', '13')",AIJ,Barman,SCC56,Barman-SCC56,13
AIJ_Barman_SCC56_14.yml,pr2,false,False,1798.213026,1799.665674308315,359.05536,-1.0,1799.0141141572967,0.3029317599721253,"('AIJ', 'Barman', 'SCC56', '14')",AIJ,Barman,SCC56,Barman-SCC56,14
AIJ_Barman_SCC56_15.yml,pr2,false,False,1799.453517,1799.6195650259033,353.738752,-1.0,1799.0153603400104,0.3190789800137281,"('AIJ', 'Barman', 'SCC56', '15')",AIJ,Barman,SCC56,Barman-SCC56,15
AIJ_Barman_SCC56_16.yml,pr2,true,True,118.541798,118.56525058159605,143.642624,19051.0,118.05552861327304,0.3014848753809929,"('AIJ', 'Barman', 'SCC56', '16')",AIJ,Barman,SCC56,Barman-SCC56,16
AIJ_Barman_SCC56_17.yml,pr2,true,True,85.422509,85.44024919113144,125.362176,14793.0,84.92178130196407,0.3076181737706065,"('AIJ', 'Barman', 'SCC56', '17')",AIJ,Barman,SCC56,Barman-SCC56,17
AIJ_Barman_SCC56_18.yml,pr2,true,True,63.239131,63.25462744385004,117.415936,13793.0,62.75363710708916,0.2991059636697173,"('AIJ', 'Barman', 'SCC56', '18')",AIJ,Barman,SCC56,Barman-SCC56,18
AIJ_Barman_SCC56_19.yml,pr2,true,True,86.85436,86.87217068811879,126.390272,15995.0,86.35977536486462,0.3133383011445403,"('AIJ', 'Barman', 'SCC56', '19')",AIJ,Barman,SCC56,Barman-SCC56,19
AIJ_Barman_SCC56_2.yml,pr2,true,True,2.162941,2.17043422581628,43.3152,1664.0,1.6581455869600177,0.305253071244806,"('AIJ', 'Barman', 'SCC56', '2')",AIJ,Barman,SCC56,Barman-SCC56,2
AIJ_Barman_SCC56_20.yml,pr2,true,True,454.580314,454.6478917840868,208.252928,24210.0,454.1460620351136,0.2988978694193065,"('AIJ', 'Barman', 'SCC56', '20')",AIJ,Barman,SCC56,Barman-SCC56,20
